[2022-05-27 16:20:20,415] ERROR: No source is configured for 2... skipping
[2022-05-27 16:20:20,416] ERROR: No source is configured for 2... skipping
[2022-05-27 16:20:20,416] ERROR: No source is configured for v... skipping
[2022-05-27 16:20:20,417] ERROR: No source is configured for 3... skipping
[2022-05-27 16:20:20,417] ERROR: No source is configured for 1... skipping
[2022-05-27 16:20:20,417] ERROR: No source is configured for n... skipping
[2022-05-27 16:20:20,418] ERROR: No source is configured for 1... skipping
[2022-05-27 16:20:20,418] ERROR: No source is configured for a... skipping
[2022-05-27 16:20:20,419] ERROR: No source is configured for r... skipping
[2022-05-27 16:20:20,419] ERROR: No source is configured for t... skipping
[2022-05-27 16:20:20,419] ERROR: No source is configured for 0... skipping
[2022-05-27 16:20:20,420] ERROR: No source is configured for 8... skipping
[2022-05-27 16:20:39,652] ERROR: No source is configured for http://api.crossref.org/works/10.1590/1982-3533.2022v31n1art08... skipping
[2022-05-30 09:45:08,859] ERROR: No source is configured for http://api.crossref.org/works/10.1590/1982-3533.2022v31n1art08... skipping
[2022-05-30 09:46:37,266] ERROR: No source is configured for https://api.crossref.org/works/10.1590/1982-3533.2022v31n1art08... skipping
[2022-05-30 10:19:30,990] ERROR: No source is configured for external_url... skipping
[2022-05-30 10:27:30,305] ERROR: Captcha hit on https://onlinelibrary.wiley.com/doi/abs/10.1111/dech.12711
[2022-05-30 10:28:33,724] ERROR: Captcha hit on https://onlinelibrary.wiley.com/doi/10.1111/imig.13019
[2022-05-30 10:28:40,392] ERROR: Captcha hit on https://onlinelibrary.wiley.com/doi/10.1111/imig.13019
[2022-05-30 10:28:48,761] ERROR: Captcha hit on https://onlinelibrary.wiley.com/doi/10.1111/imig.13019
[2022-05-30 10:28:51,867] ERROR: Captcha hit on https://onlinelibrary.wiley.com/doi/10.1111/imig.13019
[2022-05-30 10:33:48,180] ERROR: Captcha hit on https://onlinelibrary.wiley.com/doi/10.1111/imig.13019
[2022-05-30 10:34:54,839] ERROR: Captcha hit on https://onlinelibrary.wiley.com/doi/10.1111/imig.13019
[2022-05-30 10:35:04,231] ERROR: Captcha hit on https://onlinelibrary.wiley.com/doi/10.1111/imig.13019
[2022-05-30 10:37:01,867] ERROR: Captcha hit on https://onlinelibrary.wiley.com/doi/10.1111/imig.13019
[2022-05-30 10:46:31,258] ERROR: Captcha hit on https://onlinelibrary.wiley.com/doi/full/10.1111/dech.12711
[2022-05-30 10:48:23,025] ERROR: Captcha hit on https://onlinelibrary.wiley.com/doi/full/10.1111/dech.12711
[2022-05-30 10:48:28,979] ERROR: Captcha hit on https://onlinelibrary.wiley.com/doi/10.1111/imig.13019
[2022-05-30 10:49:11,093] ERROR: timeout: Timed out receiving message from renderer: -0.002
  (Session info: chrome=102.0.5005.49)
[2022-05-30 10:50:27,183] ERROR: timeout: Timed out receiving message from renderer: 6.593
  (Session info: chrome=102.0.5005.49)
[2022-05-30 10:56:04,545] ERROR: timeout: Timed out receiving message from renderer: 9.712
  (Session info: chrome=102.0.5005.49)
[2022-05-30 10:58:09,187] ERROR: Captcha hit on https://onlinelibrary.wiley.com/doi/abs/10.1111/dech.12711
[2022-05-30 10:58:20,441] ERROR: Captcha hit on https://onlinelibrary.wiley.com/doi/full/10.1111/dech.12711
[2022-05-30 11:04:21,773] ERROR: Captcha hit on https://onlinelibrary.wiley.com/doi/10.1111/petr.14281
[2022-05-30 11:04:25,576] ERROR: Captcha hit on https://onlinelibrary.wiley.com/doi/10.1111/petr.14281
[2022-05-30 11:06:50,657] ERROR: timeout: Timed out receiving message from renderer: 12.166
  (Session info: headless chrome=102.0.5005.49)
[2022-05-30 11:29:12,053] ERROR: timeout: Timed out receiving message from renderer: 13.504
  (Session info: headless chrome=102.0.5005.49)
[2022-05-30 11:31:48,253] ERROR: unknown error: net::ERR_TUNNEL_CONNECTION_FAILED
  (Session info: headless chrome=102.0.5005.49)
[2022-05-30 11:48:54,987] ERROR: Driver instances cannot be run in parallel... CRITICAL - QUITTING
